epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,200.321,0.56987,0.60763,1.29378,0.8683,0.95487,0.9644,0.89151,0.44099,0.51762,1.19786,0.0003334,0.0003334,0.0003334
103,202.241,0.55978,0.57368,1.23471,0.91064,0.9259,0.96215,0.89552,0.44635,0.49802,1.19537,0.0003268,0.0003268,0.0003268
104,204.195,0.5451,0.58592,1.25743,0.8644,0.94173,0.96278,0.89423,0.46065,0.55351,1.19785,0.0003202,0.0003202,0.0003202
105,206.261,0.56955,0.59629,1.28125,0.88933,0.91287,0.95502,0.8906,0.43918,0.58312,1.19553,0.0003136,0.0003136,0.0003136
106,208.201,0.54864,0.57037,1.26078,0.91016,0.91101,0.95968,0.88772,0.4381,0.52382,1.18958,0.000307,0.000307,0.000307
107,210.077,0.54628,0.57613,1.2671,0.89617,0.91989,0.95766,0.88835,0.44258,0.52465,1.19383,0.0003004,0.0003004,0.0003004
108,211.932,0.55934,0.57643,1.25601,0.86444,0.96297,0.96496,0.8948,0.44234,0.50476,1.20176,0.0002938,0.0002938,0.0002938
109,213.791,0.5568,0.55278,1.25035,0.9146,0.90744,0.95743,0.88867,0.43643,0.4962,1.20018,0.0002872,0.0002872,0.0002872
110,215.787,0.57456,0.60087,1.26959,0.89463,0.88472,0.94634,0.88069,0.45445,0.52845,1.21044,0.0002806,0.0002806,0.0002806
111,217.809,0.58848,0.5956,1.30041,0.86659,0.93026,0.94839,0.87796,0.45357,0.53207,1.21003,0.000274,0.000274,0.000274
112,219.772,0.54802,0.5549,1.25467,0.86638,0.94366,0.96323,0.89336,0.44825,0.50318,1.2113,0.0002674,0.0002674,0.0002674
113,221.841,0.55519,0.57672,1.2785,0.87911,0.9715,0.968,0.89367,0.46152,0.5188,1.21857,0.0002608,0.0002608,0.0002608
114,223.725,0.54858,0.57582,1.25888,0.87664,0.94327,0.96462,0.88715,0.43233,0.54408,1.189,0.0002542,0.0002542,0.0002542
115,225.599,0.52936,0.55408,1.22565,0.91975,0.94024,0.95888,0.88712,0.44548,0.49709,1.20986,0.0002476,0.0002476,0.0002476
116,227.49,0.58024,0.59778,1.29419,0.94683,0.88846,0.95416,0.87705,0.45709,0.52765,1.22106,0.000241,0.000241,0.000241
117,229.391,0.58616,0.59531,1.3196,0.87651,0.89201,0.95038,0.87266,0.45712,0.62081,1.22458,0.0002344,0.0002344,0.0002344
118,231.426,0.53408,0.57139,1.25939,0.86498,0.97116,0.96696,0.89637,0.4361,0.50422,1.19491,0.0002278,0.0002278,0.0002278
119,233.407,0.55948,0.57683,1.2696,0.87394,0.92927,0.95627,0.88847,0.43676,0.51008,1.1945,0.0002212,0.0002212,0.0002212
