epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,89.5362,0.37215,0.57188,0.84592,0.86798,0.94567,0.95548,0.88131,0.3883,0.52444,0.80409,0.0001981,0.0001981,0.0001981
83,90.6166,0.38472,0.5659,0.84384,0.86928,0.95209,0.96648,0.90133,0.37622,0.48932,0.80224,0.0001882,0.0001882,0.0001882
84,91.7143,0.35173,0.50221,0.83544,0.86769,0.95224,0.97659,0.92037,0.37373,0.47247,0.80293,0.0001783,0.0001783,0.0001783
85,92.7758,0.34663,0.52514,0.81595,0.86883,0.95238,0.97481,0.91881,0.37545,0.46854,0.80252,0.0001684,0.0001684,0.0001684
86,93.857,0.36965,0.58289,0.84745,0.87911,0.94731,0.96992,0.9059,0.37508,0.46668,0.80398,0.0001585,0.0001585,0.0001585
87,94.9922,0.35644,0.48423,0.82719,0.87414,0.94521,0.96992,0.90521,0.37136,0.45813,0.80266,0.0001486,0.0001486,0.0001486
88,96.1314,0.34361,0.49801,0.83996,0.8773,0.94535,0.96992,0.90878,0.37797,0.45686,0.80369,0.0001387,0.0001387,0.0001387
89,97.2102,0.33758,0.53504,0.81188,0.89809,0.93347,0.975,0.91755,0.37858,0.45561,0.80332,0.0001288,0.0001288,0.0001288
90,98.343,0.37395,0.55982,0.84286,0.88575,0.93858,0.97322,0.91028,0.38618,0.45826,0.80456,0.0001189,0.0001189,0.0001189
91,113.596,0.29752,0.57877,0.75578,0.88359,0.95775,0.96767,0.9047,0.39062,0.45653,0.80582,0.000109,0.000109,0.000109
92,114.843,0.29464,0.51757,0.77815,0.94265,0.89862,0.96767,0.89304,0.38809,0.46811,0.80624,9.91e-05,9.91e-05,9.91e-05
93,115.809,0.29985,0.53191,0.78165,0.91448,0.92307,0.97322,0.89913,0.38574,0.47302,0.80582,8.92e-05,8.92e-05,8.92e-05
94,116.804,0.31174,0.63645,0.79236,0.90862,0.90211,0.96548,0.89803,0.3829,0.48613,0.80575,7.93e-05,7.93e-05,7.93e-05
95,117.81,0.31738,0.63145,0.80199,0.86482,0.95032,0.96548,0.89851,0.37724,0.48106,0.80475,6.94e-05,6.94e-05,6.94e-05
96,118.815,0.32124,0.6047,0.80057,0.88385,0.95411,0.96548,0.90308,0.37886,0.47994,0.80532,5.95e-05,5.95e-05,5.95e-05
97,119.817,0.28415,0.53163,0.78603,0.88128,0.9499,0.96548,0.90203,0.37752,0.4846,0.80528,4.96e-05,4.96e-05,4.96e-05
98,120.842,0.27696,0.49745,0.79403,0.8697,0.96281,0.95881,0.89721,0.3798,0.48405,0.80578,3.97e-05,3.97e-05,3.97e-05
99,121.843,0.26928,0.57654,0.81264,0.87445,0.96031,0.96548,0.89184,0.38097,0.48793,0.80605,2.98e-05,2.98e-05,2.98e-05
100,122.889,0.30004,0.50506,0.79444,0.8777,0.95584,0.96445,0.89015,0.3806,0.48932,0.80571,1.99e-05,1.99e-05,1.99e-05
